Title,Genres,Rank,Popularity,Score,Episodes,Episode length,Release Date
"Maware Migi, Nigerunda","Drama,Fantasy",12677,17427,6.45,1,4 min.,Spring 2021
Matter,"Drama,Fantasy",12676,19853,6.45,1,27 sec.,Spring 2021
Mayuge Dance,"Drama,Fantasy",12684,17336,6.45,1,2 min.,Spring 2021
Matsuda-ke Curry Battle,"Drama,Fantasy",12673,16240,6.45,1,2 min.,Spring 2021
Mattaku Mi ni Naranai Hibi,"Drama,Fantasy",12675,19852,6.45,1,4 min.,Spring 2021
Matsue Kankou Taishi Sanri ga Iku! Matsue Ghost Tour,"Comedy,Horror",12674,15596,6.45,2,9 min. per ep.,Spring 2021
Maware Toro-Ika,"Comedy,Horror",12678,17605,6.45,1,4 min.,Spring 2021
Matierica,"Comedy,Horror",12669,18148,6.45,1,30 min.,Spring 2021
Meimiao Licheng,"Comedy,Horror",12724,19860,6.45,20,14 min. per ep.,Spring 2021
Matouqin De Gushi,"Comedy,Horror",12670,19851,6.45,1,17 min.,Spring 2021
Mask Masters,"Action,Adventure",12667,16952,6.45,26,27 min. per ep.,Spring 2021
Megane,"Action,Adventure",12711,16526,6.45,1,2 min.,Spring 2021
Mashin Eiyuuden Wataru: Soukaizan Eiyuu Densetsu,"Action,Adventure,Comedy,Fantasy,Sci-Fi",12665,14443,6.45,1,1 hr. 5 min.,Spring 2021
Mashin Mukashi Banashi Gekijou,"Action,Adventure,Comedy,Fantasy,Sci-Fi",12666,18617,6.45,5,Unknown,Spring 2021
Me wo Samase Toragorou,"Action,Adventure,Comedy,Fantasy,Sci-Fi",12704,17392,6.45,1,17 min.,Spring 2021
Marumofubiyori,"Action,Adventure,Comedy,Fantasy,Sci-Fi",12661,15119,6.45,8,2 min. per ep.,Spring 2021
Maya no Isshou,"Drama,Slice of Life",12680,15526,6.45,1,1 hr. 10 min.,Spring 2021
Matenrou to Rinkai-ten,"Action,Fantasy",12668,18572,6.45,1,3 min.,Spring 2021
Mary Bell no Koutsuu Anzen,"Action,Fantasy",12663,17951,6.45,1,13 min.,Spring 2021
Matsubara-kun,"Action,Fantasy",12671,16053,6.45,5,1 min. per ep.,Spring 2021
Marin X,"Action,Adventure,Sci-Fi",12657,16733,6.45,1,1 hr. 20 min.,Spring 2021
Mary Bell no Hi no Youjin: Guratto Kitara Dousuru,"Action,Adventure,Sci-Fi",12662,18008,6.45,1,11 min.,Spring 2021
Marco to Ginga Ryuu,"Action,Adventure,Comedy,Fantasy",12655,14384,6.45,2,5 min. per ep.,Spring 2021
Matsubara-kun: Mackie E no Ouen Message,"Action,Adventure,Comedy,Fantasy",12672,16924,6.45,1,33 sec.,Spring 2021
